Latitude (decimal degrees):	48.265
Longitude (decimal degrees):	11.669
Elevation (m):	476
Radiation database:	PVGIS-SARAH3


Slope: 38 deg. (optimum)
Azimuth: 1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20070527:1510,28.92,0.0,43.83,1.03,35.47,18.38,2.48,0.0
20070527:1610,28.13,0.0,42.94,1.01,25.5,18.31,2.28,0.0
20070527:1710,23.4,0.0,37.57,0.88,15.66,18.29,2.07,0.0
20070527:1810,10.34,0.0,21.71,0.55,6.29,18.08,1.24,0.0
20070527:1910,0.0,0.0,0.0,0.0,0.0,17.65,1.24,0.0
20070527:2010,0.0,0.0,0.0,0.0,0.0,16.41,1.45,0.0
20070527:2110,0.0,0.0,0.0,0.0,0.0,15.23,1.72,0.0
20070527:2210,0.0,0.0,0.0,0.0,0.0,14.84,1.86,0.0
20070527:2310,0.0,0.0,0.0,0.0,0.0,14.1,1.86,0.0
20070528:0010,0.0,0.0,0.0,0.0,0.0,13.89,1.59,0.0
20070528:0110,0.0,0.0,0.0,0.0,0.0,13.6,1.24,0.0
20070528:0210,0.0,0.0,0.0,0.0,0.0,13.51,0.55,0.0
20070528:0310,0.0,0.0,0.0,0.0,0.0,13.67,0.55,0.0
20070528:0410,1.83,0.0,9.19,0.23,6.51,13.64,0.76,0.0
20070528:0510,8.29,0.0,18.79,0.44,15.89,14.21,1.1,0.0
20070528:0610,213.15,65.05,170.7,6.08,25.72,15.26,1.79,0.0
20070528:0710,123.44,0.0,138.65,3.25,35.69,13.43,2.41,0.0
20070528:0810,421.49,111.89,320.33,9.62,45.36,13.56,2.76,0.0
20070528:0910,244.96,3.16,254.31,6.02,54.09,13.97,3.31,0.0
20070528:1010,336.95,17.39,330.12,8.03,60.65,14.11,4.07,0.0
20070528:1110,77.65,0.0,93.03,2.18,63.19,12.86,4.28,0.0
20070528:1210,106.03,0.0,119.87,2.81,60.6,10.91,5.45,0.0
20070528:1310,66.95,0.0,81.4,1.91,54.02,10.17,5.52,0.0
20070528:1410,77.99,0.0,92.14,2.16,45.28,9.75,5.24,0.0
20070528:1510,59.89,0.0,74.25,1.74,35.6,9.67,4.83,0.0
20070528:1610,36.26,0.0,50.09,1.17,25.64,9.39,4.62,0.0
20070528:1710,12.12,0.0,23.26,0.55,15.8,9.22,4.76,0.0
20070528:1810,15.77,0.0,27.56,0.69,6.43,9.03,4.83,0.0
20070528:1910,0.0,0.0,0.0,0.0,0.0,8.24,4.76,0.0
20070528:2010,0.0,0.0,0.0,0.0,0.0,7.91,4.62,0.0
20070528:2110,0.0,0.0,0.0,0.0,0.0,7.69,4.83,0.0
20070528:2210,0.0,0.0,0.0,0.0,0.0,7.58,4.76,0.0
20070528:2310,0.0,0.0,0.0,0.0,0.0,7.5,4.83,0.0
20070529:0010,0.0,0.0,0.0,0.0,0.0,7.44,4.97,0.0
20070529:0110,0.0,0.0,0.0,0.0,0.0,7.25,4.97,0.0
20070529:0210,0.0,0.0,0.0,0.0,0.0,7.18,5.17,0.0
20070529:0310,0.0,0.0,0.0,0.0,0.0,7.26,5.38,0.0
20070529:0410,0.17,0.0,5.85,0.15,6.61,7.35,5.72,0.0
20070529:0510,7.96,0.0,17.89,0.42,15.98,7.35,5.93,0.0
20070529:0610,19.16,0.0,31.31,0.73,25.81,7.46,6.07,0.0
20070529:0710,35.0,0.0,48.3,1.13,35.78,7.0,6.07,0.0
20070529:0810,66.07,0.0,79.61,1.87,45.46,7.36,5.93,0.0
20070529:0910,93.64,0.0,106.45,2.5,54.2,7.84,6.34,0.0
20070529:1010,68.68,0.0,82.3,1.93,60.79,7.87,6.97,0.0
20070529:1110,89.16,0.0,101.98,2.39,63.35,7.59,7.59,0.0
20070529:1210,86.38,0.0,99.29,2.33,60.76,7.56,7.79,0.0
20070529:1310,82.74,0.0,95.72,2.24,54.16,7.33,7.45,0.0
20070529:1410,68.92,0.0,82.3,1.93,45.42,7.18,7.1,0.0
20070529:1510,97.78,0.0,110.03,2.58,35.73,7.08,6.97,0.0
20070529:1610,30.7,0.0,43.83,1.03,25.77,7.2,6.69,0.0
20070529:1710,47.19,0.0,60.83,1.43,15.93,7.27,6.41,0.0
20070529:1810,9.01,0.0,19.21,0.48,6.57,7.3,6.0,0.0
20070529:1910,0.0,0.0,0.0,0.0,0.0,6.8,6.28,0.0
20070529:2010,0.0,0.0,0.0,0.0,0.0,6.81,5.79,0.0
20070529:2110,0.0,0.0,0.0,0.0,0.0,6.74,5.52,0.0
20070529:2210,0.0,0.0,0.0,0.0,0.0,6.6,5.24,0.0
20070529:2310,0.0,0.0,0.0,0.0,0.0,6.53,4.97,0.0
20070530:0010,0.0,0.0,0.0,0.0,0.0,6.65,4.62,0.0
20070530:0110,0.0,0.0,0.0,0.0,0.0,6.69,4.21,0.0
20070530:0210,0.0,0.0,0.0,0.0,0.0,6.71,3.72,0.0
20070530:0310,0.0,0.0,0.0,0.0,0.0,6.64,3.1,0.0
20070530:0410,16.72,0.0,28.4,0.71,6.71,6.36,2.69,0.0
20070530:0510,86.02,2.72,97.92,2.64,16.07,6.75,2.28,0.0
20070530:0610,178.5,17.3,172.12,4.59,25.9,7.63,2.83,0.0
20070530:0710,440.95,231.65,212.95,10.32,35.87,8.79,2.69,0.0
20070530:0810,636.62,405.95,239.31,13.69,45.55,9.92,2.34,0.0
20070530:0910,689.86,377.39,335.51,14.61,54.31,10.94,1.72,0.0
20070530:1010,737.32,400.48,375.91,15.62,60.92,11.68,1.24,0.0
20070530:1110,515.26,115.04,419.96,11.7,63.5,12.61,1.17,0.0
20070530:1210,475.99,93.79,402.69,10.97,60.91,13.03,0.76,0.0
20070530:1310,446.37,94.81,372.66,10.34,54.3,13.49,0.41,0.0
20070530:1410,614.28,407.06,245.69,13.57,45.55,13.61,0.21,0.0
20070530:1510,257.34,32.02,241.11,6.33,35.86,13.58,0.14,0.0
20070530:1610,165.86,15.25,167.28,4.36,25.9,13.53,0.62,0.0
20070530:1710,85.26,4.7,98.96,2.7,16.06,13.51,1.03,0.0
20070530:1810,21.89,0.0,35.08,0.88,6.7,12.9,1.03,0.0
20070530:1910,0.0,0.0,0.0,0.0,0.0,11.41,1.52,0.0
20070530:2010,0.0,0.0,0.0,0.0,0.0,10.03,1.79,0.0
20070530:2110,0.0,0.0,0.0,0.0,0.0,9.05,1.86,0.0
20070530:2210,0.0,0.0,0.0,0.0,0.0,8.34,1.79,0.0
20070530:2310,0.0,0.0,0.0,0.0,0.0,7.65,1.72,0.0
20070531:0010,0.0,0.0,0.0,0.0,0.0,7.05,1.59,0.0
20070531:0110,0.0,0.0,0.0,0.0,0.0,6.18,1.45,0.0
20070531:0210,0.0,0.0,0.0,0.0,0.0,5.39,1.31,0.0
20070531:0310,0.0,0.0,0.0,0.0,0.0,4.96,1.17,0.0
20070531:0410,23.64,0.0,35.91,0.9,6.8,4.63,1.03,0.0
20070531:0510,89.26,10.22,98.12,3.63,16.15,6.43,0.55,0.0
20070531:0610,235.69,94.09,162.16,6.86,25.98,9.75,0.9,0.0
20070531:0710,503.19,410.53,109.6,12.31,35.94,11.18,1.24,0.0
20070531:0810,680.84,568.18,144.78,15.12,45.64,13.01,1.17,0.0
20070531:0910,807.95,729.18,154.07,17.68,54.41,14.55,0.48,0.0
20070531:1010,816.45,657.95,259.65,17.93,61.04,15.8,0.0,0.0
20070531:1110,907.15,878.25,159.18,19.9,63.65,16.92,0.28,0.0
20070531:1210,788.19,562.81,311.13,17.11,61.06,18.02,0.76,0.0
20070531:1310,757.72,598.62,236.38,16.54,54.44,18.12,0.69,0.0
20070531:1410,580.38,357.74,268.71,13.11,45.68,18.25,0.48,0.0
20070531:1510,499.3,423.54,114.42,12.2,35.99,18.62,0.62,0.0
20070531:1610,268.01,210.09,96.86,8.41,26.02,18.56,1.1,0.0
20070531:1710,66.12,39.8,64.16,4.68,16.19,18.48,1.24,0.0
20070531:1810,18.55,0.0,31.74,0.8,6.83,17.15,1.66,0.0
20070531:1910,0.0,0.0,0.0,0.0,0.0,15.31,2.28,0.0
20070531:2010,0.0,0.0,0.0,0.0,0.0,13.95,2.48,0.0
20070531:2110,0.0,0.0,0.0,0.0,0.0,12.97,2.62,0.0
20070531:2210,0.0,0.0,0.0,0.0,0.0,12.31,2.69,0.0
20070531:2310,0.0,0.0,0.0,0.0,0.0,11.82,2.55,0.0
20070601:0010,0.0,0.0,0.0,0.0,0.0,11.39,2.41,0.0
20070601:0110,0.0,0.0,0.0,0.0,0.0,11.08,2.28,0.0
20070601:0210,0.0,0.0,0.0,0.0,0.0,10.59,1.93,0.0
20070601:0310,0.0,0.0,0.0,0.0,0.0,10.04,1.66,0.0
20070601:0410,0.0,0.0,5.01,0.13,6.88,9.5,1.38,0.0
20070601:0510,68.78,0.77,83.55,2.05,16.23,10.81,0.34,0.0
20070601:0610,135.08,4.62,145.68,3.56,26.05,12.12,0.83,0.0
20070601:0710,326.69,84.31,254.45,7.88,36.02,13.72,2.76,0.0
20070601:0810,329.54,41.19,299.82,7.82,45.72,15.1,4.21,0.0
20070601:0910,247.88,3.13,258.78,6.12,54.5,15.7,3.93,0.0
20070601:1010,306.52,9.71,311.35,7.46,61.16,16.25,3.66,0.0
20070601:1110,152.05,0.0,168.17,3.94,63.79,16.0,3.38,0.0
20070601:1210,80.88,0.0,97.5,2.29,61.2,15.88,3.52,0.0
20070601:1310,239.47,2.12,251.54,5.93,54.57,15.52,3.59,0.0
20070601:1410,186.17,1.01,199.55,4.7,45.81,14.85,3.79,0.0
20070601:1510,190.37,6.38,198.06,4.78,36.11,14.55,3.66,0.0
20070601:1610,86.14,0.0,101.98,2.39,26.14,13.98,3.59,0.0
20070601:1710,91.25,10.66,101.5,3.25,16.31,13.27,3.24,0.0
20070601:1810,0.52,0.0,6.68,0.17,6.96,12.41,2.97,0.0
20070601:1910,0.0,0.0,0.0,0.0,0.0,12.6,2.48,0.0
20070601:2010,0.0,0.0,0.0,0.0,0.0,11.88,2.41,0.0
20070601:2110,0.0,0.0,0.0,0.0,0.0,11.61,2.48,0.0
20070601:2210,0.0,0.0,0.0,0.0,0.0,11.47,2.69,0.0
20070601:2310,0.0,0.0,0.0,0.0,0.0,11.31,2.48,0.0
20070602:0010,0.0,0.0,0.0,0.0,0.0,11.18,2.41,0.0
20070602:0110,0.0,0.0,0.0,0.0,0.0,10.98,2.41,0.0
20070602:0210,0.0,0.0,0.0,0.0,0.0,10.79,2.28,0.0
20070602:0310,0.0,0.0,0.0,0.0,0.0,10.58,2.07,0.0
20070602:0410,1.88,0.0,9.19,0.23,6.96,10.5,1.93,0.0
20070602:0510,15.72,0.0,27.73,0.65,16.3,10.75,1.86,0.0
20070602:0610,54.85,0.0,69.77,1.64,26.12,11.14,1.52,0.0
20070602:0710,323.44,81.48,254.22,7.82,36.09,12.27,1.38,0.0
20070602:0810,168.35,0.0,183.38,4.3,45.79,13.46,0.97,0.0
20070602:0910,217.97,1.04,232.65,5.47,54.59,14.68,0.97,0.0
20070602:1010,195.42,0.0,211.11,4.95,61.27,15.14,1.66,0.0
20070602:1110,209.37,0.0,225.42,5.28,63.92,15.71,1.79,0.0
20070602:1210,555.85,176.86,410.77,12.54,61.34,17.0,1.66,0.0
20070602:1310,442.99,101.72,371.45,10.44,54.7,18.39,0.76,0.0
20070602:1410,271.94,19.13,275.44,6.81,45.93,18.65,0.14,0.0
20070602:1510,360.34,137.28,249.78,8.81,36.23,17.98,0.14,0.0
20070602:1610,197.77,39.69,179.7,5.37,26.26,16.88,0.62,0.0
20070602:1710,79.31,29.15,81.87,4.26,16.43,16.28,1.17,0.0
20070602:1810,20.11,0.0,33.41,0.84,7.09,15.77,0.9,0.0
20070602:1910,0.0,0.0,0.0,0.0,0.0,14.54,1.59,0.0
20070602:2010,0.0,0.0,0.0,0.0,0.0,13.43,1.45,0.0
20070602:2110,0.0,0.0,0.0,0.0,0.0,13.21,1.1,0.0
20070602:2210,0.0,0.0,0.0,0.0,0.0,12.74,1.24,0.0
20070602:2310,0.0,0.0,0.0,0.0,0.0,12.3,1.17,0.0
20070603:0010,0.0,0.0,0.0,0.0,0.0,11.82,1.17,0.0
20070603:0110,0.0,0.0,0.0,0.0,0.0,11.32,1.1,0.0
20070603:0210,0.0,0.0,0.0,0.0,0.0,10.66,0.9,0.0
20070603:0310,0.0,0.0,0.0,0.0,0.0,10.62,0.69,0.0
20070603:0410,24.35,0.0,37.58,0.94,7.03,10.96,0.48,0.0
20070603:0510,88.25,5.84,101.14,3.15,16.36,11.9,1.03,0.0
20070603:0610,96.06,0.0,111.82,2.62,26.18,13.14,1.17,0.0
20070603:0710,207.97,11.24,213.45,5.26,36.15,14.95,0.34,0.0
20070603:0810,281.43,21.49,279.1,6.96,45.86,16.04,0.21,0.0
20070603:0910,555.81,221.59,370.55,12.6,54.67,17.55,1.1,0.0
20070603:1010,804.25,594.42,283.34,17.3,61.37,18.79,1.79,0.0
20070603:1110,861.58,698.76,249.75,18.39,64.05,19.7,2.07,0.0
20070603:1210,800.94,587.18,290.04,17.19,61.47,20.32,2.07,0.0
20070603:1310,719.67,498.3,279.69,15.6,54.83,20.84,2.34,0.0
20070603:1410,598.43,388.99,248.03,13.34,46.04,20.92,2.69,0.0
20070603:1510,452.67,301.28,182.05,10.95,36.34,21.1,2.55,0.0
20070603:1610,252.61,150.56,136.27,7.61,26.37,20.76,2.41,0.0
20070603:1710,84.89,22.71,92.03,3.98,16.55,19.88,2.07,0.0
20070603:1810,21.21,0.0,35.08,0.88,7.2,18.93,1.93,0.0
20070603:1910,0.0,0.0,0.0,0.0,0.0,17.78,2.0,0.0
20070603:2010,0.0,0.0,0.0,0.0,0.0,16.79,2.0,0.0
20070603:2110,0.0,0.0,0.0,0.0,0.0,15.81,2.07,0.0
20070603:2210,0.0,0.0,0.0,0.0,0.0,15.17,2.07,0.0
20070603:2310,0.0,0.0,0.0,0.0,0.0,14.45,2.0,0.0
20070604:0010,0.0,0.0,0.0,0.0,0.0,13.9,2.0,0.0
20070604:0110,0.0,0.0,0.0,0.0,0.0,13.52,1.86,0.0
20070604:0210,0.0,0.0,0.0,0.0,0.0,12.96,1.79,0.0
20070604:0310,0.0,0.0,0.0,0.0,0.0,12.51,1.66,0.0
20070604:0410,24.21,0.0,37.58,0.94,7.1,12.27,1.59,0.0
20070604:0510,62.07,0.37,77.57,1.87,16.42,13.23,1.66,0.0
20070604:0610,168.64,16.32,169.37,4.51,26.24,14.63,2.21,0.0
20070604:0710,376.99,156.1,239.29,9.23,36.2,16.42,2.34,0.0
20070604:0810,437.25,136.46,321.96,10.19,45.92,17.67,2.28,0.0
20070604:0910,548.07,207.71,371.89,12.39,54.75,18.77,2.28,0.0
20070604:1010,554.3,180.3,409.73,12.62,61.47,19.68,2.28,0.0
20070604:1110,698.37,360.82,394.45,15.31,64.17,20.95,2.48,0.0
20070604:1210,789.57,560.37,301.86,16.96,61.59,21.57,2.62,0.0
20070604:1310,726.18,516.58,269.21,15.75,54.95,21.78,2.69,0.0
20070604:1410,619.42,445.58,218.32,13.86,46.16,21.72,2.48,0.0
20070604:1510,333.38,102.37,256.64,8.22,36.45,21.71,2.28,0.0
20070604:1610,218.09,67.61,177.67,6.14,26.48,20.65,1.52,0.0
20070604:1710,75.55,33.64,76.49,4.45,16.66,18.79,1.79,0.0
20070604:1810,0.48,0.0,6.68,0.17,7.32,17.64,1.24,0.0
20070604:1910,0.0,0.0,0.0,0.0,0.0,18.24,1.93,0.0
20070604:2010,0.0,0.0,0.0,0.0,0.0,17.27,2.07,0.0
20070604:2110,0.0,0.0,0.0,0.0,0.0,16.52,2.21,0.0
20070604:2210,0.0,0.0,0.0,0.0,0.0,15.96,2.14,0.0
20070604:2310,0.0,0.0,0.0,0.0,0.0,15.05,2.07,0.0
20070605:0010,0.0,0.0,0.0,0.0,0.0,14.5,1.86,0.0
20070605:0110,0.0,0.0,0.0,0.0,0.0,14.13,1.86,0.0
20070605:0210,0.0,0.0,0.0,0.0,0.0,13.91,1.79,0.0
20070605:0310,0.0,0.0,0.0,0.0,0.0,13.55,1.79,0.0
20070605:0410,24.82,0.0,38.42,0.96,7.16,13.35,1.72,0.0
20070605:0510,68.16,19.42,76.21,4.36,16.48,13.95,1.52,0.0
20070605:0610,0.0,0.0,0.0,0.0,0.0,15.61,1.86,0.0
20070605:0710,0.0,0.0,0.0,0.0,0.0,17.26,1.72,0.0
20070605:0810,420.66,120.63,322.34,9.9,45.98,18.7,2.41,0.0
20070605:0910,505.93,157.61,376.94,11.62,54.82,19.54,2.69,0.0
20070605:1010,566.88,191.83,410.98,12.85,61.56,20.57,2.97,0.0
20070605:1110,636.22,263.73,416.4,14.13,64.28,21.33,3.31,0.0
20070605:1210,140.79,0.0,161.02,3.77,61.71,21.67,3.24,0.0
20070605:1310,570.23,237.36,370.96,12.81,55.06,22.17,3.38,0.0
20070605:1410,439.3,141.29,325.24,10.25,46.27,22.29,3.79,0.0
20070605:1510,330.72,94.07,257.86,8.07,36.56,20.18,3.31,0.0
20070605:1610,222.89,71.83,177.6,6.27,26.59,20.44,2.41,0.0
20070605:1710,80.15,3.02,97.18,2.52,16.77,20.25,2.0,0.0
20070605:1810,0.1,0.0,5.85,0.15,7.43,19.75,1.93,0.0
20070605:1910,0.0,0.0,0.0,0.0,0.0,18.71,2.14,0.0
20070605:2010,0.0,0.0,0.0,0.0,0.0,17.87,2.21,0.0
20070605:2110,0.0,0.0,0.0,0.0,0.0,17.0,2.28,0.0
20070605:2210,0.0,0.0,0.0,0.0,0.0,16.39,2.21,0.0
20070605:2310,0.0,0.0,0.0,0.0,0.0,15.9,2.21,0.0
20070606:0010,0.0,0.0,0.0,0.0,0.0,15.57,2.21,0.0
20070606:0110,0.0,0.0,0.0,0.0,0.0,15.07,2.14,0.0
20070606:0210,0.0,0.0,0.0,0.0,0.0,14.95,1.93,0.0
20070606:0310,0.0,0.0,0.0,0.0,0.0,14.82,1.86,0.0
20070606:0410,18.07,0.0,30.9,0.78,7.21,14.93,1.93,0.0
20070606:0510,83.1,2.75,98.65,2.68,16.53,15.47,1.86,0.0
20070606:0610,26.04,0.0,40.25,0.94,26.33,16.28,3.03,0.0
20070606:0710,87.28,0.0,104.66,2.45,36.3,17.48,3.17,0.0
20070606:0810,354.3,61.18,311.46,8.49,46.03,18.62,3.38,0.0
20070606:0910,603.89,278.5,357.4,13.38,54.88,19.78,3.66,0.0
20070606:1010,737.1,435.57,351.51,15.85,61.65,20.67,3.72,0.0
20070606:1110,730.83,406.46,378.52,15.79,64.38,21.96,3.86,0.0
20070606:1210,615.04,252.47,404.79,13.71,61.83,22.62,3.93,0.0
20070606:1310,578.87,249.69,367.3,12.96,55.17,23.13,4.21,0.0
20070606:1410,524.32,257.18,301.0,11.93,46.37,23.55,4.21,0.0
20070606:1510,464.89,335.11,161.26,11.3,36.66,23.22,4.21,0.0
20070606:1610,258.6,178.66,117.7,8.03,26.69,21.72,2.28,0.0
20070606:1710,86.91,5.77,103.1,2.87,16.87,21.27,2.48,0.0
20070606:1810,12.11,0.0,24.22,0.61,7.54,20.88,2.97,0.0
20070606:1910,0.0,0.0,0.0,0.0,0.0,19.72,3.31,0.0
20070606:2010,0.0,0.0,0.0,0.0,0.0,19.05,3.45,0.0
20070606:2110,0.0,0.0,0.0,0.0,0.0,18.4,3.31,0.0
20070606:2210,0.0,0.0,0.0,0.0,0.0,17.76,3.31,0.0
20070606:2310,0.0,0.0,0.0,0.0,0.0,17.14,2.97,0.0
20070607:0010,0.0,0.0,0.0,0.0,0.0,16.43,2.69,0.0
20070607:0110,0.0,0.0,0.0,0.0,0.0,15.89,2.62,0.0
20070607:0210,0.0,0.0,0.0,0.0,0.0,15.4,2.55,0.0
20070607:0310,0.0,0.0,0.0,0.0,0.0,15.0,2.62,0.0
20070607:0410,23.17,0.0,36.75,0.92,7.26,14.79,2.55,0.0
20070607:0510,53.66,25.57,59.38,4.78,16.57,15.58,2.28,0.0
20070607:0610,243.66,189.31,92.54,8.47,26.37,17.34,2.55,0.0
20070607:0710,468.97,371.69,124.72,11.89,36.34,19.49,3.17,0.0
20070607:0810,658.78,553.54,145.51,15.01,46.08,21.09,3.31,0.0
20070607:0910,793.69,694.71,162.95,17.36,54.94,22.53,3.52,0.0
20070607:1010,876.01,782.37,177.18,18.83,61.72,23.69,3.86,0.0
20070607:1110,911.35,830.34,174.66,19.48,64.48,24.6,4.14,0.0
20070607:1210,885.02,801.76,171.88,18.96,61.94,25.15,4.28,0.0
20070607:1310,799.0,700.81,169.84,17.34,55.28,25.53,4.34,0.0
20070607:1410,668.03,567.69,151.08,15.01,46.47,25.49,4.41,0.0
20070607:1510,486.53,396.02,128.07,11.99,36.76,25.06,4.21,0.0
20070607:1610,264.69,205.0,101.94,8.45,26.79,24.78,4.07,0.0
20070607:1710,69.34,42.71,66.81,4.84,16.98,23.87,3.52,0.0
20070607:1810,24.37,0.0,39.25,0.99,7.64,22.59,3.17,0.0
20070607:1910,0.0,0.0,0.0,0.0,0.0,21.09,3.31,0.0
20070607:2010,0.0,0.0,0.0,0.0,0.0,19.95,3.31,0.0
20070607:2110,0.0,0.0,0.0,0.0,0.0,18.99,3.03,0.0
20070607:2210,0.0,0.0,0.0,0.0,0.0,18.14,2.76,0.0
20070607:2310,0.0,0.0,0.0,0.0,0.0,17.37,2.55,0.0
20070608:0010,0.0,0.0,0.0,0.0,0.0,16.64,2.14,0.0
20070608:0110,0.0,0.0,0.0,0.0,0.0,15.85,1.79,0.0
20070608:0210,0.0,0.0,0.0,0.0,0.0,15.05,1.66,0.0
20070608:0310,0.0,0.0,0.0,0.0,0.0,14.17,1.45,0.0
20070608:0410,24.75,0.0,38.42,0.96,7.31,13.81,1.1,0.0
20070608:0510,61.78,21.71,69.29,4.57,16.61,14.99,0.48,0.0
20070608:0610,238.26,171.31,105.22,8.2,26.41,16.98,0.48,0.0
20070608:0710,454.33,357.23,133.08,11.74,36.38,18.78,0.55,0.0
20070608:0810,635.58,540.06,152.26,14.89,46.12,20.19,0.76,0.0
20070608:0910,753.75,665.89,179.0,17.13,54.99,21.32,0.62,0.0
20070608:1010,816.72,746.18,197.58,18.56,61.79,22.25,0.28,0.0
20070608:1110,848.23,795.87,193.19,19.21,64.58,23.15,0.41,0.0
20070608:1210,836.42,754.59,198.58,18.6,62.04,24.0,1.31,0.0
20070608:1310,772.6,681.1,180.91,17.19,55.38,24.46,1.86,0.0
20070608:1410,648.6,545.07,163.86,14.82,46.57,24.64,2.21,0.0
20070608:1510,467.62,361.32,148.92,11.66,36.85,24.65,2.0,0.0
20070608:1610,189.32,32.94,183.22,5.26,26.89,24.27,1.79,0.0
20070608:1710,82.67,30.06,87.27,4.38,17.07,23.74,1.93,0.0
20070608:1810,26.56,0.0,41.76,1.05,7.74,22.21,1.72,0.0
20070608:1910,0.0,0.0,0.0,0.0,0.0,20.74,2.07,0.0
20070608:2010,0.0,0.0,0.0,0.0,0.0,19.36,1.79,0.0
20070608:2110,0.0,0.0,0.0,0.0,0.0,18.25,1.59,0.0
20070608:2210,0.0,0.0,0.0,0.0,0.0,17.18,1.45,0.0
20070608:2310,0.0,0.0,0.0,0.0,0.0,16.42,1.31,0.0
20070609:0010,0.0,0.0,0.0,0.0,0.0,15.62,1.24,0.0
20070609:0110,0.0,0.0,0.0,0.0,0.0,14.8,1.24,0.0
20070609:0210,0.0,0.0,0.0,0.0,0.0,14.07,1.24,0.0
20070609:0310,0.0,0.0,0.0,0.0,0.0,13.57,1.31,0.0
20070609:0410,25.55,0.0,39.25,0.99,7.34,13.46,1.24,0.0
20070609:0510,66.84,19.51,75.33,4.47,16.64,15.07,0.97,0.0
20070609:0610,237.19,168.2,106.96,8.16,26.44,17.57,0.97,0.0
20070609:0710,451.89,351.39,136.71,11.7,36.4,19.79,0.9,0.0
20070609:0810,626.35,532.46,156.05,14.82,46.15,21.62,0.62,0.0
20070609:0910,743.94,666.06,178.88,17.15,55.03,23.0,0.41,0.0
20070609:1010,805.15,718.68,213.71,18.37,61.86,24.05,0.48,0.0
20070609:1110,847.48,797.19,192.03,19.23,64.66,24.79,0.69,0.0
20070609:1210,817.89,726.93,214.77,18.41,62.13,25.15,1.03,0.0
20070609:1310,612.37,334.95,348.64,14.11,55.47,25.46,1.1,0.0
20070609:1410,439.25,156.57,327.36,10.61,46.66,25.84,1.17,0.0
20070609:1510,234.78,25.2,237.78,6.12,36.95,25.75,1.31,0.0
20070609:1610,104.66,0.72,126.13,2.98,26.98,25.53,1.45,0.0
20070609:1710,92.81,15.11,106.08,3.67,17.16,24.62,1.24,0.0
20070609:1810,26.46,0.0,41.76,1.05,7.83,22.82,1.03,0.0
20070609:1910,0.0,0.0,0.0,0.0,0.0,21.4,1.17,0.0
20070609:2010,0.0,0.0,0.0,0.0,0.0,20.09,2.0,0.0
20070609:2110,0.0,0.0,0.0,0.0,0.0,18.94,2.48,0.0
20070609:2210,0.0,0.0,0.0,0.0,0.0,18.07,2.07,0.0
20070609:2310,0.0,0.0,0.0,0.0,0.0,17.47,2.28,0.0
20070610:0010,0.0,0.0,0.0,0.0,0.0,16.88,2.07,0.0
20070610:0110,0.0,0.0,0.0,0.0,0.0,16.45,1.86,0.0
20070610:0210,0.0,0.0,0.0,0.0,0.0,16.02,1.59,0.0
20070610:0310,0.0,0.0,0.0,0.0,0.0,15.44,1.52,0.0
20070610:0410,2.8,0.0,10.86,0.27,7.38,15.04,1.31,0.0
20070610:0510,7.54,0.0,17.89,0.42,16.67,16.03,1.03,0.0
20070610:0610,200.35,44.8,179.47,5.72,26.46,18.05,1.17,0.0
20070610:0710,437.7,309.86,160.9,11.24,36.43,20.18,1.45,0.0
20070610:0810,606.04,462.21,196.55,14.2,46.18,21.75,1.24,0.0
20070610:0910,709.82,547.86,244.53,16.17,55.07,23.03,0.97,0.0
20070610:1010,819.08,741.35,197.23,18.49,61.92,23.83,0.9,0.0
20070610:1110,857.26,815.83,179.44,19.35,64.74,24.28,0.83,0.0
20070610:1210,769.97,596.25,284.24,17.36,62.22,24.73,0.9,0.0
20070610:1310,698.81,507.73,276.11,15.81,55.56,24.96,1.24,0.0
20070610:1410,617.09,482.22,200.68,14.32,46.75,25.11,1.31,0.0
20070610:1510,467.95,380.41,137.4,11.87,37.03,25.03,0.83,0.0
20070610:1610,253.12,163.82,132.15,7.95,27.06,24.76,0.34,0.0
20070610:1710,90.5,21.72,99.98,4.03,17.25,23.97,0.69,0.0
20070610:1810,25.91,0.0,40.92,1.03,7.92,21.44,0.48,0.0
20070610:1910,0.0,0.0,0.0,0.0,0.0,21.18,2.07,0.0
20070610:2010,0.0,0.0,0.0,0.0,0.0,20.06,1.93,0.0
20070610:2110,0.0,0.0,0.0,0.0,0.0,19.0,1.79,0.0
20070610:2210,0.0,0.0,0.0,0.0,0.0,17.97,1.52,0.0
20070610:2310,0.0,0.0,0.0,0.0,0.0,16.93,1.17,0.0
20070611:0010,0.0,0.0,0.0,0.0,0.0,16.06,1.17,0.0
20070611:0110,0.0,0.0,0.0,0.0,0.0,15.14,1.31,0.0
20070611:0210,0.0,0.0,0.0,0.0,0.0,15.33,1.1,0.0
20070611:0310,0.0,0.0,0.0,0.0,0.0,16.3,0.55,0.0
20070611:0410,24.48,0.0,38.42,0.96,7.4,15.77,0.55,0.0
20070611:0510,30.83,0.0,45.62,1.07,16.69,16.12,0.69,0.0
20070611:0610,47.82,0.0,64.41,1.51,26.48,18.22,1.03,0.0
20070611:0710,250.88,30.59,240.35,6.35,36.45,18.45,1.24,0.0
20070611:0810,149.68,0.0,169.07,3.96,46.2,19.18,1.1,0.0
