Latitude (decimal degrees):	0.317
Longitude (decimal degrees):	32.593
Elevation (m):	1151
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. (optimum)
Azimuth: -109667705 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050721:0606,251.08,325.98,30.39,21.3,0.62,0.0
20050721:0706,440.08,561.97,43.87,22.66,1.52,0.0
20050721:0806,567.84,733.97,56.42,23.66,2.0,0.0
20050721:0906,671.78,878.96,66.43,24.4,2.48,0.0
20050721:1006,699.68,916.96,69.66,24.84,2.97,0.0
20050721:1106,703.1,916.95,63.51,25.05,3.38,0.0
20050721:1206,649.85,836.95,52.33,25.0,3.79,0.0
20050721:1306,518.65,661.95,39.36,24.59,3.79,0.0
20050721:1406,333.52,434.95,25.71,24.15,3.59,0.0
20050721:1506,123.41,182.97,11.77,23.4,3.52,0.0
20050721:1606,0.0,0.0,-2.27,22.49,3.03,0.0
20050721:1706,0.0,0.0,0.0,21.82,2.48,0.0
20050721:1806,0.0,0.0,0.0,21.38,2.07,0.0
20050721:1906,0.0,0.0,0.0,20.25,1.24,0.0
20050721:2006,0.0,0.0,0.0,19.29,1.38,0.0
20050721:2106,0.0,0.0,0.0,18.55,1.45,0.0
20050721:2206,0.0,0.0,0.0,18.12,1.45,0.0
20050721:2306,0.0,0.0,0.0,17.55,1.52,0.0
20050722:0006,0.0,0.0,0.0,17.01,1.72,0.0
20050722:0106,0.0,0.0,0.0,17.2,2.0,0.0
20050722:0206,0.0,0.0,0.0,17.44,2.28,0.0
20050722:0306,0.0,0.0,0.0,17.43,2.0,0.0
20050722:0406,0.0,0.0,0.0,17.52,1.45,0.0
20050722:0506,68.76,104.0,16.52,18.66,1.17,0.0
20050722:0606,254.27,326.98,30.41,20.37,1.31,0.0
20050722:0706,447.63,568.97,43.93,21.58,1.45,0.0
20050722:0806,582.44,764.96,56.52,22.98,0.83,0.0
20050722:0906,632.74,854.96,66.58,23.88,0.41,0.0
20050722:1006,723.31,988.95,69.86,24.38,0.76,0.0
20050722:1106,189.25,253.0,63.66,25.14,1.52,0.0
20050722:1206,212.39,281.0,52.43,25.02,2.14,0.0
20050722:1306,196.75,260.0,39.43,24.27,2.69,0.0
20050722:1406,173.82,232.0,25.75,23.9,2.41,0.0
20050722:1506,135.19,203.96,11.79,22.83,2.0,0.0
20050722:1606,0.0,0.0,-2.26,22.14,1.38,0.0
20050722:1706,0.0,0.0,0.0,21.06,1.59,0.0
20050722:1806,0.0,0.0,0.0,20.19,1.38,0.0
20050722:1906,0.0,0.0,0.0,21.13,0.48,0.0
20050722:2006,0.0,0.0,0.0,19.6,1.1,0.0
20050722:2106,0.0,0.0,0.0,17.97,2.0,0.0
20050722:2206,0.0,0.0,0.0,17.82,2.21,0.0
20050722:2306,0.0,0.0,0.0,17.78,2.34,0.0
20050723:0006,0.0,0.0,0.0,18.25,2.48,0.0
20050723:0106,0.0,0.0,0.0,18.37,2.55,0.0
20050723:0206,0.0,0.0,0.0,18.24,2.69,0.0
20050723:0306,0.0,0.0,0.0,17.96,2.62,0.0
20050723:0406,0.0,0.0,0.0,17.63,2.34,0.0
20050723:0506,73.18,109.99,16.54,18.14,1.24,0.0
20050723:0606,249.19,320.98,30.45,19.99,0.9,0.0
20050723:0706,333.63,426.99,43.99,21.3,1.03,0.0
20050723:0806,318.12,412.0,56.62,22.6,1.1,0.0
20050723:0906,112.91,157.0,66.75,23.4,1.52,0.0
20050723:1006,54.88,85.0,70.06,23.58,2.28,0.0
20050723:1106,60.31,92.0,63.82,24.08,2.62,0.0
20050723:1206,148.89,201.0,52.53,24.11,2.97,0.0
20050723:1306,111.6,155.0,39.5,23.73,3.45,0.0
20050723:1406,72.74,107.0,25.8,23.11,3.52,0.0
20050723:1506,61.29,93.0,11.82,22.5,3.59,0.0
20050723:1606,0.0,0.0,-2.26,21.76,3.72,0.0
20050723:1706,0.0,0.0,0.0,21.27,3.03,0.0
20050723:1806,0.0,0.0,0.0,20.86,2.07,0.0
20050723:1906,0.0,0.0,0.0,20.2,1.31,0.0
20050723:2006,0.0,0.0,0.0,20.11,0.9,0.0
20050723:2106,0.0,0.0,0.0,18.84,1.24,0.0
20050723:2206,0.0,0.0,0.0,17.91,1.45,0.0
20050723:2306,0.0,0.0,0.0,17.77,1.52,0.0
20050724:0006,0.0,0.0,0.0,17.49,1.52,0.0
20050724:0106,0.0,0.0,0.0,17.62,1.45,0.0
20050724:0206,0.0,0.0,0.0,17.31,1.79,0.0
20050724:0306,0.0,0.0,0.0,17.04,1.79,0.0
20050724:0406,0.0,0.0,0.0,16.95,1.72,0.0
20050724:0506,34.62,58.0,16.55,18.37,1.45,0.0
20050724:0606,97.45,136.0,30.48,20.41,2.28,0.0
20050724:0706,350.69,443.99,44.05,21.75,2.62,0.0
20050724:0806,505.86,641.98,56.72,22.76,3.24,0.0
20050724:0906,594.27,760.97,66.91,23.69,3.72,0.0
20050724:1006,611.32,782.97,70.26,24.26,4.48,0.0
20050724:1106,708.54,906.95,63.97,24.16,4.83,0.0
20050724:1206,650.5,827.95,52.63,24.28,4.76,0.0
20050724:1306,529.16,669.95,39.56,23.9,4.48,0.0
20050724:1406,361.71,468.95,25.84,23.5,4.34,0.0
20050724:1506,146.32,224.95,11.84,22.87,3.93,0.0
20050724:1606,0.0,0.0,-2.26,21.78,3.86,0.0
20050724:1706,0.0,0.0,0.0,21.11,3.45,0.0
20050724:1806,0.0,0.0,0.0,20.78,2.41,0.0
20050724:1906,0.0,0.0,0.0,20.3,2.48,0.0
20050724:2006,0.0,0.0,0.0,20.12,2.14,0.0
20050724:2106,0.0,0.0,0.0,19.4,1.59,0.0
20050724:2206,0.0,0.0,0.0,20.09,0.76,0.0
20050724:2306,0.0,0.0,0.0,18.68,1.45,0.0
20050725:0006,0.0,0.0,0.0,19.29,2.48,0.0
20050725:0106,0.0,0.0,0.0,19.55,2.69,0.0
20050725:0206,0.0,0.0,0.0,19.07,2.55,0.0
20050725:0306,0.0,0.0,0.0,18.84,1.93,0.0
20050725:0406,0.0,0.0,0.0,18.57,0.83,0.0
20050725:0506,90.11,135.99,16.57,19.02,0.83,0.0
20050725:0606,259.18,333.98,30.52,21.36,1.59,0.0
20050725:0706,400.97,507.98,44.12,22.37,2.41,0.0
20050725:0806,595.39,759.97,56.83,22.82,2.83,0.0
20050725:0906,700.74,908.96,67.09,23.71,3.03,0.0
20050725:1006,679.46,881.96,70.47,24.33,3.45,0.0
20050725:1106,731.38,948.95,64.13,24.72,3.86,0.0
20050725:1206,655.91,842.95,52.74,24.6,3.86,0.0
20050725:1306,518.14,659.95,39.63,24.46,4.0,0.0
20050725:1406,356.92,463.95,25.88,23.86,4.07,0.0
20050725:1506,151.94,237.94,11.86,23.04,3.72,0.0
20050725:1606,0.0,0.0,-2.26,21.84,3.17,0.0
20050725:1706,0.0,0.0,0.0,21.01,2.76,0.0
20050725:1806,0.0,0.0,0.0,20.44,2.69,0.0
20050725:1906,0.0,0.0,0.0,19.86,2.21,0.0
20050725:2006,0.0,0.0,0.0,19.31,1.38,0.0
20050725:2106,0.0,0.0,0.0,20.13,0.69,0.0
20050725:2206,0.0,0.0,0.0,18.41,1.45,0.0
20050725:2306,0.0,0.0,0.0,18.29,1.66,0.0
20050726:0006,0.0,0.0,0.0,18.27,1.72,0.0
20050726:0106,0.0,0.0,0.0,18.09,1.79,0.0
20050726:0206,0.0,0.0,0.0,17.95,1.93,0.0
20050726:0306,0.0,0.0,0.0,17.92,2.14,0.0
20050726:0406,0.0,0.0,0.0,17.73,2.21,0.0
20050726:0506,84.69,126.99,16.59,18.3,1.24,0.0
20050726:0606,281.0,361.98,30.56,21.33,1.17,0.0
20050726:0706,458.25,584.97,44.19,22.91,1.66,0.0
20050726:0806,625.36,805.96,56.95,23.71,2.48,0.0
20050726:0906,667.96,870.96,67.27,24.25,2.69,0.0
20050726:1006,723.68,950.96,70.69,24.71,2.9,0.0
20050726:1106,715.6,934.95,64.29,24.65,3.17,0.0
20050726:1206,570.99,735.96,52.84,24.48,3.17,0.0
20050726:1306,493.68,631.96,39.7,23.9,2.97,0.0
20050726:1406,361.1,472.95,25.92,23.7,2.62,0.0
20050726:1506,152.19,238.94,11.88,23.06,2.62,0.0
20050726:1606,0.0,0.0,-2.26,22.15,2.69,0.0
20050726:1706,0.0,0.0,0.0,21.47,2.83,0.0
20050726:1806,0.0,0.0,0.0,20.82,2.76,0.0
20050726:1906,0.0,0.0,0.0,20.33,2.07,0.0
20050726:2006,0.0,0.0,0.0,19.51,2.14,0.0
20050726:2106,0.0,0.0,0.0,18.74,2.07,0.0
20050726:2206,0.0,0.0,0.0,18.12,2.14,0.0
20050726:2306,0.0,0.0,0.0,17.81,2.28,0.0
20050727:0006,0.0,0.0,0.0,17.79,2.34,0.0
20050727:0106,0.0,0.0,0.0,17.85,2.34,0.0
20050727:0206,0.0,0.0,0.0,18.11,2.28,0.0
20050727:0306,0.0,0.0,0.0,18.23,2.34,0.0
20050727:0406,0.0,0.0,0.0,18.31,2.28,0.0
20050727:0506,26.35,47.0,16.61,18.77,2.14,0.0
20050727:0606,54.99,84.0,30.61,20.3,2.14,0.0
20050727:0706,321.72,410.99,44.26,22.66,2.34,0.0
20050727:0806,581.9,749.97,57.06,24.03,2.48,0.0
20050727:0906,580.36,764.98,67.45,25.0,1.72,0.0
20050727:1006,335.03,446.0,70.91,25.54,0.14,0.0
20050727:1106,450.38,592.99,64.45,25.54,1.45,0.0
20050727:1206,569.08,736.96,52.94,23.52,2.28,0.0
20050727:1306,284.29,367.99,39.76,22.27,1.24,0.0
20050727:1406,177.84,237.0,25.95,21.91,0.28,0.0
20050727:1506,105.68,153.99,11.89,21.6,0.21,0.0
20050727:1606,0.0,0.0,-2.26,21.41,0.41,0.0
20050727:1706,0.0,0.0,0.0,20.63,0.97,0.0
20050727:1806,0.0,0.0,0.0,19.9,1.03,0.0
20050727:1906,0.0,0.0,0.0,20.78,0.41,0.0
20050727:2006,0.0,0.0,0.0,18.75,1.45,0.0
20050727:2106,0.0,0.0,0.0,18.95,2.21,0.0
20050727:2206,0.0,0.0,0.0,19.07,2.55,0.0
20050727:2306,0.0,0.0,0.0,18.83,3.03,0.0
20050728:0006,0.0,0.0,0.0,18.55,3.17,0.0
20050728:0106,0.0,0.0,0.0,18.51,3.1,0.0
20050728:0206,0.0,0.0,0.0,18.46,3.17,0.0
20050728:0306,0.0,0.0,0.0,18.08,2.97,0.0
20050728:0406,0.0,0.0,0.0,18.26,2.41,0.0
20050728:0506,30.84,53.0,16.63,18.57,1.86,0.0
20050728:0606,165.29,217.0,30.66,19.15,1.45,0.0
20050728:0706,162.95,215.0,44.34,19.9,1.52,0.0
20050728:0806,402.79,515.99,57.19,20.53,1.03,0.0
20050728:0906,561.11,722.98,67.64,21.23,1.86,0.0
20050728:1006,483.23,621.99,71.13,21.84,2.0,0.0
20050728:1106,54.41,84.0,64.61,22.45,2.41,0.0
20050728:1206,48.09,76.0,53.04,22.59,3.17,0.0
20050728:1306,65.24,97.0,39.82,21.32,3.17,0.0
20050728:1406,205.11,267.99,25.99,21.53,2.34,0.0
20050728:1506,83.64,122.0,11.9,21.58,1.86,0.0
20050728:1606,0.0,0.0,-2.27,20.94,1.59,0.0
20050728:1706,0.0,0.0,0.0,20.1,1.31,0.0
20050728:1806,0.0,0.0,0.0,18.94,1.31,0.0
20050728:1906,0.0,0.0,0.0,18.91,1.72,0.0
20050728:2006,0.0,0.0,0.0,18.65,2.07,0.0
20050728:2106,0.0,0.0,0.0,18.68,2.14,0.0
20050728:2206,0.0,0.0,0.0,18.74,2.14,0.0
20050728:2306,0.0,0.0,0.0,18.65,2.21,0.0
20050729:0006,0.0,0.0,0.0,18.59,2.14,0.0
20050729:0106,0.0,0.0,0.0,18.54,2.21,0.0
20050729:0206,0.0,0.0,0.0,18.49,2.48,0.0
20050729:0306,0.0,0.0,0.0,18.27,2.55,0.0
20050729:0406,0.0,0.0,0.0,18.3,2.55,0.0
20050729:0506,18.24,36.0,16.66,18.81,2.14,0.0
20050729:0606,72.03,105.0,30.71,20.02,1.66,0.0
20050729:0706,361.31,456.99,44.42,21.73,2.62,0.0
20050729:0806,551.83,710.97,57.31,22.68,1.86,0.0
20050729:0906,637.53,846.97,67.83,23.87,1.24,0.0
20050729:1006,609.04,820.97,71.36,24.5,0.69,0.0
20050729:1106,453.55,594.99,64.77,24.45,1.31,0.0
20050729:1206,105.01,148.0,53.14,24.83,2.14,0.0
20050729:1306,36.2,61.0,39.88,23.71,3.17,0.0
20050729:1406,50.47,79.0,26.02,22.47,2.83,0.0
20050729:1506,44.23,71.0,11.92,22.12,2.34,0.0
20050729:1606,0.0,0.0,-2.28,21.73,2.14,0.0
20050729:1706,0.0,0.0,0.0,21.23,2.21,0.0
20050729:1806,0.0,0.0,0.0,20.92,1.86,0.0
20050729:1906,0.0,0.0,0.0,20.51,1.66,0.0
20050729:2006,0.0,0.0,0.0,20.13,1.86,0.0
20050729:2106,0.0,0.0,0.0,19.88,2.0,0.0
20050729:2206,0.0,0.0,0.0,19.88,2.21,0.0
20050729:2306,0.0,0.0,0.0,19.7,2.62,0.0
20050730:0006,0.0,0.0,0.0,19.49,3.03,0.0
20050730:0106,0.0,0.0,0.0,19.22,3.31,0.0
20050730:0206,0.0,0.0,0.0,19.03,3.52,0.0
20050730:0306,0.0,0.0,0.0,18.84,3.38,0.0
20050730:0406,0.0,0.0,0.0,18.72,3.31,0.0
20050730:0506,39.97,65.0,16.69,19.04,3.93,0.0
20050730:0606,255.91,324.99,30.76,19.95,3.38,0.0
20050730:0706,431.68,540.98,44.5,20.03,2.21,0.0
20050730:0806,579.73,741.97,57.44,21.08,1.86,0.0
20050730:0906,630.16,823.97,68.03,21.72,1.45,0.0
20050730:1006,606.46,806.97,71.6,23.22,0.97,0.0
20050730:1106,624.59,819.97,64.93,22.78,1.66,0.0
20050730:1206,274.84,358.0,53.24,23.41,1.52,0.0
20050730:1306,182.76,242.0,39.94,22.72,1.66,0.0
20050730:1406,97.5,137.0,26.05,21.61,1.45,0.0
20050730:1506,49.91,78.0,11.92,21.04,0.97,0.0
20050730:1606,0.0,0.0,-2.29,20.59,0.28,0.0
20050730:1706,0.0,0.0,0.0,20.14,0.48,0.0
20050730:1806,0.0,0.0,0.0,18.98,1.31,0.0
20050730:1906,0.0,0.0,0.0,19.36,0.9,0.0
20050730:2006,0.0,0.0,0.0,18.14,1.79,0.0
20050730:2106,0.0,0.0,0.0,18.55,2.21,0.0
20050730:2206,0.0,0.0,0.0,18.2,2.48,0.0
20050730:2306,0.0,0.0,0.0,18.21,2.62,0.0
20050731:0006,0.0,0.0,0.0,18.06,2.48,0.0
20050731:0106,0.0,0.0,0.0,18.02,2.48,0.0
20050731:0206,0.0,0.0,0.0,17.85,2.62,0.0
20050731:0306,0.0,0.0,0.0,17.77,2.41,0.0
20050731:0406,0.0,0.0,0.0,17.59,2.34,0.0
20050731:0506,2.79,12.0,16.72,18.25,2.97,0.0
20050731:0606,48.1,75.0,30.81,19.11,2.34,0.0
20050731:0706,161.53,213.0,44.59,19.82,1.79,0.0
20050731:0806,420.13,535.99,57.57,20.38,1.38,0.0
20050731:0906,548.53,711.98,68.23,20.69,1.1,0.0
20050731:1006,418.23,541.99,71.84,21.51,0.97,0.0
20050731:1106,187.0,247.0,65.09,21.94,1.1,0.0
20050731:1206,300.23,390.0,53.34,22.45,0.97,0.0
20050731:1306,135.46,183.0,40.0,21.24,1.38,0.0
20050731:1406,48.55,76.0,26.08,20.45,2.0,0.0
20050731:1506,85.61,124.0,11.93,20.17,1.45,0.0
20050731:1606,0.0,0.0,-2.3,19.87,0.97,0.0
20050731:1706,0.0,0.0,0.0,19.37,0.34,0.0
20050731:1806,0.0,0.0,0.0,18.91,0.83,0.0
20050731:1906,0.0,0.0,0.0,18.68,0.97,0.0
20050731:2006,0.0,0.0,0.0,18.74,1.1,0.0
20050731:2106,0.0,0.0,0.0,18.75,1.45,0.0
20050731:2206,0.0,0.0,0.0,18.43,1.93,0.0
20050731:2306,0.0,0.0,0.0,18.1,2.0,0.0
20050801:0006,0.0,0.0,0.0,18.32,1.93,0.0
20050801:0106,0.0,0.0,0.0,18.34,2.07,0.0
20050801:0206,0.0,0.0,0.0,18.28,2.21,0.0
20050801:0306,0.0,0.0,0.0,18.13,2.28,0.0
20050801:0406,0.0,0.0,0.0,18.02,2.41,0.0
20050801:0506,74.18,111.0,16.76,18.39,2.34,0.0
20050801:0606,154.75,204.0,30.87,19.37,2.28,0.0
20050801:0706,364.94,460.99,44.68,21.62,2.69,0.0
20050801:0806,602.44,769.97,57.71,22.98,2.83,0.0
20050801:0906,623.03,802.97,68.44,23.28,3.03,0.0
20050801:1006,732.06,945.96,72.08,22.87,3.52,0.0
20050801:1106,736.77,960.95,65.26,23.43,2.97,0.0
20050801:1206,642.04,825.95,53.43,23.76,3.31,0.0
20050801:1306,346.2,442.99,40.05,23.86,3.52,0.0
20050801:1406,354.19,461.95,26.11,23.54,2.9,0.0
20050801:1506,149.44,230.95,11.93,23.01,2.55,0.0
20050801:1606,0.0,0.0,-2.32,22.01,2.83,0.0
20050801:1706,0.0,0.0,0.0,21.17,2.9,0.0
20050801:1806,0.0,0.0,0.0,20.8,2.41,0.0
20050801:1906,0.0,0.0,0.0,20.13,1.86,0.0
20050801:2006,0.0,0.0,0.0,19.22,1.79,0.0
20050801:2106,0.0,0.0,0.0,18.3,1.72,0.0
20050801:2206,0.0,0.0,0.0,17.61,1.59,0.0
20050801:2306,0.0,0.0,0.0,17.11,1.52,0.0
20050802:0006,0.0,0.0,0.0,16.87,1.66,0.0
20050802:0106,0.0,0.0,0.0,16.55,1.72,0.0
20050802:0206,0.0,0.0,0.0,17.06,1.86,0.0
20050802:0306,0.0,0.0,0.0,17.5,1.86,0.0
20050802:0406,0.0,0.0,0.0,17.33,2.0,0.0
20050802:0506,25.66,46.0,16.79,18.16,1.38,0.0
20050802:0606,273.85,350.98,30.93,20.35,1.24,0.0
20050802:0706,348.17,445.99,44.77,21.89,1.17,0.0
20050802:0806,96.74,137.0,57.85,22.87,0.9,0.0
20050802:0906,106.26,149.0,68.65,23.51,1.24,0.0
20050802:1006,593.97,775.98,72.33,22.84,1.86,0.0
20050802:1106,691.48,905.96,65.42,22.87,2.21,0.0
20050802:1206,653.97,855.95,53.53,23.02,1.79,0.0
20050802:1306,516.23,661.95,40.1,22.98,2.34,0.0
20050802:1406,376.32,492.95,26.13,22.7,2.0,0.0
20050802:1506,155.36,243.95,11.94,22.43,2.34,0.0
20050802:1606,0.0,0.0,-2.34,21.73,2.41,0.0
20050802:1706,0.0,0.0,0.0,21.04,2.48,0.0
20050802:1806,0.0,0.0,0.0,20.52,2.21,0.0
20050802:1906,0.0,0.0,0.0,19.8,1.72,0.0
20050802:2006,0.0,0.0,0.0,18.88,1.38,0.0
20050802:2106,0.0,0.0,0.0,18.74,1.1,0.0
20050802:2206,0.0,0.0,0.0,17.6,1.38,0.0
20050802:2306,0.0,0.0,0.0,16.7,1.66,0.0
20050803:0006,0.0,0.0,0.0,16.82,1.79,0.0
20050803:0106,0.0,0.0,0.0,16.84,1.93,0.0
20050803:0206,0.0,0.0,0.0,16.93,1.72,0.0
20050803:0306,0.0,0.0,0.0,16.93,1.24,0.0
20050803:0406,0.0,0.0,0.0,17.01,1.03,0.0
20050803:0506,3.33,13.0,16.83,17.78,1.1,0.0
20050803:0606,225.73,291.99,31.0,19.4,0.41,0.0
20050803:0706,42.03,68.0,44.87,20.98,0.55,0.0
20050803:0806,101.06,142.0,57.99,22.06,0.48,0.0
20050803:0906,52.5,82.0,68.87,23.23,0.97,0.0
20050803:1006,304.8,398.0,72.58,23.91,1.31,0.0
20050803:1106,674.85,897.96,65.59,24.53,1.72,0.0
20050803:1206,643.17,847.95,53.62,24.35,1.72,0.0
20050803:1306,470.3,607.96,40.15,24.02,1.93,0.0
20050803:1406,149.68,203.0,26.15,23.93,1.17,0.0
20050803:1506,86.38,127.0,11.93,23.38,0.97,0.0
20050803:1606,0.0,0.0,-2.36,22.54,1.31,0.0
20050803:1706,0.0,0.0,0.0,21.31,1.24,0.0
20050803:1806,0.0,0.0,0.0,20.47,1.17,0.0
20050803:1906,0.0,0.0,0.0,19.41,1.79,0.0
20050803:2006,0.0,0.0,0.0,19.07,2.21,0.0
20050803:2106,0.0,0.0,0.0,19.15,2.34,0.0
20050803:2206,0.0,0.0,0.0,18.85,2.62,0.0
20050803:2306,0.0,0.0,0.0,18.57,2.9,0.0
20050804:0006,0.0,0.0,0.0,18.45,3.03,0.0
20050804:0106,0.0,0.0,0.0,18.5,2.76,0.0
20050804:0206,0.0,0.0,0.0,18.49,2.48,0.0
20050804:0306,0.0,0.0,0.0,18.39,2.21,0.0
20050804:0406,0.0,0.0,0.0,18.34,1.93,0.0
20050804:0506,38.32,63.0,16.88,18.96,1.24,0.0
20050804:0606,247.2,318.99,31.07,20.6,0.97,0.0
20050804:0706,242.56,316.0,44.97,22.03,0.69,0.0
20050804:0806,418.03,541.99,58.14,22.86,1.03,0.0
20050804:0906,519.39,674.99,69.09,22.7,1.59,0.0
20050804:1006,611.86,799.98,72.84,22.65,1.86,0.0
20050804:1106,540.54,700.98,65.75,22.18,1.79,0.0
20050804:1206,627.28,825.96,53.71,22.8,1.24,0.0
20050804:1306,223.73,294.0,40.2,23.45,1.31,0.0
20050804:1406,127.63,175.0,26.17,23.53,1.93,0.0
20050804:1506,105.18,152.99,11.93,22.68,2.28,0.0
20050804:1606,0.0,0.0,-2.39,21.98,2.0,0.0
20050804:1706,0.0,0.0,0.0,21.38,1.52,0.0
20050804:1806,0.0,0.0,0.0,21.55,0.34,0.0
20050804:1906,0.0,0.0,0.0,19.33,1.17,0.0
20050804:2006,0.0,0.0,0.0,18.59,2.0,0.0
20050804:2106,0.0,0.0,0.0,18.69,2.34,0.0
20050804:2206,0.0,0.0,0.0,18.65,2.34,0.0
20050804:2306,0.0,0.0,0.0,18.75,2.21,0.0
20050805:0006,0.0,0.0,0.0,18.81,2.14,0.0
20050805:0106,0.0,0.0,0.0,18.81,2.0,0.0
20050805:0206,0.0,0.0,0.0,18.63,1.93,0.0
20050805:0306,0.0,0.0,0.0,18.5,1.66,0.0
20050805:0406,0.0,0.0,0.0,18.24,1.38,0.0
20050805:0506,75.28,113.0,16.92,19.12,1.17,0.0
20050805:0606,280.86,359.98,31.14,20.71,1.31,0.0
20050805:0706,462.13,590.98,45.07,22.41,1.31,0.0
20050805:0806,601.86,784.97,58.29,23.47,1.52,0.0
20050805:0906,596.47,774.98,69.32,24.0,2.55,0.0
20050805:1006,482.13,612.99,73.1,22.16,3.66,0.0
20050805:1106,352.56,447.0,65.91,21.67,4.0,0.0
20050805:1206,171.95,227.0,53.8,22.14,3.31,0.0
20050805:1306,424.15,535.98,40.25,22.74,4.14,0.0
20050805:1406,360.26,464.95,26.19,22.6,3.93,0.0
20050805:1506,150.16,230.96,11.92,22.31,3.66,0.0
20050805:1606,0.0,0.0,-2.41,21.65,3.38,0.0
20050805:1706,0.0,0.0,0.0,21.08,3.38,0.0
20050805:1806,0.0,0.0,0.0,20.84,3.17,0.0
20050805:1906,0.0,0.0,0.0,20.66,2.14,0.0
20050805:2006,0.0,0.0,0.0,19.66,1.59,0.0
20050805:2106,0.0,0.0,0.0,19.59,1.03,0.0
20050805:2206,0.0,0.0,0.0,18.66,1.24,0.0
20050805:2306,0.0,0.0,0.0,18.32,1.66,0.0
20050806:0006,0.0,0.0,0.0,18.77,1.72,0.0
20050806:0106,0.0,0.0,0.0,19.08,1.93,0.0
20050806:0206,0.0,0.0,0.0,19.0,2.14,0.0
20050806:0306,0.0,0.0,0.0,18.91,2.28,0.0
20050806:0406,0.0,0.0,0.0,18.69,2.21,0.0
20050806:0506,68.34,103.0,16.97,19.13,1.93,0.0
20050806:0606,223.38,288.99,31.21,20.99,1.72,0.0
20050806:0706,426.97,543.98,45.17,22.19,1.59,0.0
20050806:0806,550.62,714.98,58.44,23.4,1.59,0.0
20050806:0906,504.01,657.99,69.55,24.25,1.79,0.0
20050806:1006,530.17,687.99,73.36,23.71,2.41,0.0
20050806:1106,641.19,830.97,66.08,24.05,3.24,0.0
20050806:1206,480.38,612.98,53.89,23.08,3.31,0.0
20050806:1306,293.35,377.0,40.29,23.27,3.17,0.0
20050806:1406,363.79,472.95,26.2,23.28,3.24,0.0
20050806:1506,137.27,205.97,11.91,22.96,2.69,0.0
20050806:1606,0.0,0.0,-2.44,22.0,2.69,0.0
20050806:1706,0.0,0.0,0.0,21.26,2.69,0.0
20050806:1806,0.0,0.0,0.0,20.76,2.41,0.0
20050806:1906,0.0,0.0,0.0,20.32,1.66,0.0
20050806:2006,0.0,0.0,0.0,20.87,0.69,0.0
20050806:2106,0.0,0.0,0.0,20.05,0.83,0.0
20050806:2206,0.0,0.0,0.0,18.34,1.59,0.0
20050806:2306,0.0,0.0,0.0,18.58,1.79,0.0
20050807:0006,0.0,0.0,0.0,18.39,2.07,0.0
20050807:0106,0.0,0.0,0.0,18.29,2.07,0.0
20050807:0206,0.0,0.0,0.0,17.93,1.79,0.0
20050807:0306,0.0,0.0,0.0,17.7,1.45,0.0
20050807:0406,0.0,0.0,0.0,17.38,1.17,0.0
20050807:0506,64.57,98.0,17.02,19.1,1.17,0.0
20050807:0606,300.67,383.98,31.28,21.23,1.86,0.0
20050807:0706,462.74,586.98,45.28,22.4,2.07,0.0
20050807:0806,454.19,583.99,58.59,23.23,2.07,0.0
20050807:0906,353.92,457.0,69.78,23.76,2.41,0.0
20050807:1006,457.44,588.99,73.63,23.78,2.97,0.0
20050807:1106,721.8,930.96,66.24,22.22,3.31,0.0
20050807:1206,645.94,830.96,53.97,23.0,3.03,0.0
20050807:1306,391.07,499.98,40.33,23.59,3.03,0.0
20050807:1406,99.33,140.0,26.22,23.59,3.1,0.0
20050807:1506,129.96,192.98,11.9,23.11,2.34,0.0
20050807:1606,0.0,0.0,-2.47,22.3,2.28,0.0
20050807:1706,0.0,0.0,0.0,21.47,2.41,0.0
20050807:1806,0.0,0.0,0.0,20.96,2.34,0.0
20050807:1906,0.0,0.0,0.0,20.29,1.79,0.0
20050807:2006,0.0,0.0,0.0,19.67,1.31,0.0
20050807:2106,0.0,0.0,0.0,18.75,1.52,0.0
20050807:2206,0.0,0.0,0.0,18.04,1.59,0.0
20050807:2306,0.0,0.0,0.0,17.91,1.72,0.0
20050808:0006,0.0,0.0,0.0,17.59,1.72,0.0
20050808:0106,0.0,0.0,0.0,17.5,1.45,0.0
20050808:0206,0.0,0.0,0.0,17.89,1.1,0.0
20050808:0306,0.0,0.0,0.0,17.46,1.45,0.0
20050808:0406,0.0,0.0,0.0,17.31,2.28,0.0
20050808:0506,77.98,116.0,17.07,18.5,1.79,0.0
20050808:0606,278.36,356.98,31.36,21.5,1.79,0.0
20050808:0706,463.75,591.98,45.39,22.96,1.72,0.0
20050808:0806,580.87,755.97,58.75,23.85,1.72,0.0
20050808:0906,270.51,354.0,70.02,24.45,1.72,0.0
20050808:1006,567.94,747.98,73.9,24.9,1.93,0.0
20050808:1106,451.83,587.99,66.4,25.09,2.41,0.0
20050808:1206,560.07,720.97,54.06,23.52,2.83,0.0
20050808:1306,504.94,645.96,40.37,23.72,2.97,0.0
20050808:1406,374.64,489.95,26.23,23.86,2.9,0.0
20050808:1506,156.18,247.95,11.89,23.36,2.62,0.0
20050808:1606,0.0,0.0,-2.51,22.58,2.55,0.0
20050808:1706,0.0,0.0,0.0,21.71,2.48,0.0
20050808:1806,0.0,0.0,0.0,21.15,2.41,0.0
